zh_ref,ru_ref,google_trans,NLBB_trans,GPT_translate
三、中国的发展中国家地位迎来新时代的新发展,3. Статус Китая как развивающейся страны получает новое развитие в новую эпоху.,3. Статус Китая как развивающейся страны открыл новые события в новую эпоху.,III. Развитие Китая: Новые возможности для страны с развивающейся экономикой в новую эпоху.,III. Статус Китая как развивающейся страны в новую эпоху
从“第三世界”到“全球南方”，发展中国家摆脱旧标签，迎来新发展。作为新兴市场国家和发展中国家的集合体，“全球南方”占世界经济比重已提升到40%以上，正在深刻改写世界经济版图，成为国际秩序变革的关键力量。中国出身南方、扎根南方、心系南方，正如习近平主席不久前在喀山出席“金砖+”领导人对话会时强调，“作为‘全球南方’的第一方阵，我们要展现集体智慧和力量，为构建人类命运共同体挺膺担当。”1979年至2023年，中国对世界经济增长的平均贡献率为24.8%，高于七国集团国家贡献率总和，位居世界首位。近年来，中国向160多个国家提供发展援助，同150多个国家和30多个国际组织携手共建“一带一路”，同100多个国家和联合国等多个国际组织推进全球发展倡议合作，创设全球发展和南南合作基金，支持实施150多个项目。中国没有将发展中国家地位当做逃避国际责任的“挡箭牌”或是获取特殊优待的“敲门砖”，而是以坚定的行动践行中国始终是“全球南方”的一员，在新时代为广大发展中国家携手实现现代化作出新贡献。,"От стран третьего мира до стран Глобального Юга, развивающиеся страны избавляются от старых ярлыков и начинают новое развитие. Как объединение стран с формирующимся рынком и развивающихся стран, Глобальный Юг уже занимает более 40% доли в мировой экономике, что кардинально меняет экономическую карту мира. Страны Глобального Юга становятся ключевой силой в преобразовании международного порядка. Китай зародился на юге, укоренился на юге и крепко связан с ним. Как недавно подчеркнул председатель Си Цзиньпин на Диалоге лидеров в формате «БРИКС плюс»: «Мы как ведущие страны Глобального Юга обязаны объединять ум и силы, смело взять на себя ответственность за формирование сообщества единой судьбы человечества». С 1979 по 2023 год среднегодовой вклад Китая в рост мировой экономики составил 24,8%, что превышает совокупный вклад стран Большой семерки (G7). По этому показателю Китай занимает первое место в мире. В последние годы Китай предоставил помощь в развитии более чем 160 странам, совместно с более чем 150 государствами и более чем 30 международными организациями реализует инициативу «Пояс и путь», а также продвигает сотрудничество по глобальным инициативам развития с более чем 100 странами и международными организациями, включая ООН. Китай учредил Фонд глобального развитияи сотрудничества Юг-Юг, который поддерживает реализацию более 150 проектов. Китай не рассматривает статус развивающейся страны как «щит» для уклонения от международных обязательств или как «трамплин» для получения особых привилегий, а путем решительных действий демонстрирует, что Китай всегда является одним из членов Глобального Юга, и в новую эпоху вносит новый вклад в совместное достижение модернизации развивающимися странами.","От «третьего мира» до «глобального Юга» развивающиеся страны сбросили свои старые ярлыки и положили начало новому развитию. В совокупности стран с формирующимся рынком и развивающихся стран на «Глобальный Юг» приходится более 40% мировой экономики. Он глубоко переписывает мировую экономическую карту и становится ключевой силой в трансформации международного порядка. Китай родился на Юге, имеет южные корни и заботится о Юге. Как подчеркнул председатель Си Цзиньпин, принимая участие в диалоге лидеров «БРИКС+» в Казани не так давно: «Будучи первой площадью «Глобального Юга», мы должны продемонстрировать нашу коллективную мудрость и силу и отстоять свою ответственность в построении сообщества с единой судьбой человечества». С 1979 по 2023 год средний вклад Китая в мировой экономический рост составил 24,8%, что выше совокупного вклада стран «Большой семерки», занимающих первое место в мире. За последние годы Китай предоставил помощь в целях развития более чем 160 странам, работал с более чем 150 странами и более чем 30 международными организациями над созданием инициативы «Пояс и путь», продвигал сотрудничество по глобальным инициативам развития с более чем 100 странами и международными организациями, такими как Организация Объединенных Наций, создал фонд глобального развития и сотрудничества Юг-Юг, а также поддержал реализацию более 150 проектов. Китай не использует свой статус развивающейся страны в качестве «щита» для уклонения от международных обязательств или «ступеньки» для получения особого режима. Вместо этого требуются решительные действия, чтобы доказать, что Китай всегда был членом «Глобального Юга», и внести новый вклад в модернизацию развивающихся стран в новую эпоху.","От ""третьего мира"" до ""глобального Юга"", развивающиеся страны отказываются от устаревших ярлыков и открывают новую эру развития. ""Глобальный Юг"", представляющий собой совокупность стран с формирующимися рынками и развивающихся государств, уже составляет более 40% мировой экономики и оказывает глубокое влияние на структуру мирового хозяйства, становясь ключевой силой в преобразовании международного порядка. Китай, имеющий корни в ""глобальном Юге"", глубоко связан с ним и заботится о нем. Как подчеркнул председатель Си Цзиньпин во время недавней встречи лидеров ""БРИКС+"" в Казани, ""как передовая сила ""глобального Юга"", мы должны продемонстрировать коллективную мудрость и силу, чтобы внести свой вклад в построение сообщества единой судьбы человечества"". С 1979 по 2023 год средний вклад Китая в рост мировой экономики составил 24,8%, что выше суммарного вклада стран ""Группы семи"" и является самым высоким показателем в мире. В последние годы Китай оказывает помощь в развитии более чем 160 странам, совместно реализует инициативу ""Один пояс – один путь"" с более чем 150 странами и 30 международными организациями, продвигает сотрудничество в рамках глобальной инициативы развития со многими странами и такими международными организациями, как Организация Объединенных Наций, а также создал Глобальный фонд развития и фонд южно-южного сотрудничества для поддержки реализации более чем 150 проектов. Китай не использует статус развивающейся страны как ""щит"" для уклонения от международных обязательств или как ""ключ"" для получения особых привилегий, а демонстрирует свою приверженность принципу быть частью ""глобального Юга"" посредством конкретных действий, внося новый вклад в совместное достижение модернизации для многих развивающихся стран в новую эпоху.","От «третьего мира» до «глобального Юга» развивающиеся страны перешли от старых ярлыков к новому развитию. Как группа стран с формирующимся рынком и развивающихся стран, доля «глобального Юга» в мировой экономике возросла более чем до 40 процентов и в настоящее время коренным образом меняется, чтобы стать ключевой силой для изменения международного порядка. Как подчеркнул Председатель Си на своей недавней встрече на Диалоге лидеров БРИКС+, «как первая сторона «глобального Юга», мы хотим продемонстрировать коллективную мудрость и силу и сыграть роль в формировании сообщества человеческой судьбы. С 1979 по 2023 год средний вклад Китая в мировой экономический рост составлял 24,8 процента, что выше совокупного вклада стран G-7 и занимает первое место в мире. В последние годы Китай оказывает помощь в целях развития более чем 160 странам, сотрудничая с более чем 150 странами и 30 международными организациями в целях создания «единого пути», сотрудничая с более чем 100 странами и несколькими международными организациями, включая Организацию Объединенных Наций, в целях продвижения глобальных инициатив в области развития, создания глобального фонда развития и сотрудничества Юг-Юг и поддержки осуществления более 150 проектов. Китай не занимает позицию развивающихся стран как щита от международной ответственности или как «стук-и-стук» со специальными привилегиями, но является членом «глобального Юга» с твердыми действиями по внесению нового вклада в модернизацию развивающихся стран в новую эпоху."
俄罗斯同为“全球南方”大家庭的重要成员，今年作为金砖轮值主席国成功举办金砖国家领导人第十六次会晤，为金砖合作机制发展倾注大量心力，与中国和其他金砖伙伴共同推动“大金砖合作”顺利开局，为“全球南方”加强团结合作凝聚了更多共识、信心和力量。中国将继续同俄罗斯在内的其他“全球南方”国家一道，共商合作、共谋发展、共面挑战，共同擘画“全球南方”团结合作的新蓝图。,"Россия, будучи важным членом семьи Глобального Юга, в этом году, как председатель БРИКС, успешно провела XVI саммит БРИКС, приложив огромные усилия в развитие механизма сотрудничества организации. Вместе с Китаем и другими партнерами по БРИКС Россия активно содействует успешному началу «сотрудничества Большого БРИКС», чтобы выработать еще больше общих мнений, сконцентрировать уверенность и силы для укрепления сплоченности и сотрудничества стран Глобального Юга. Китай продолжит совместно с Россией и другими странами Глобального Юга обсуждать проекты сотрудничества, совместно планировать стратегии развития и противостоять вызовам, а также совместно разрабатывать новый план сплоченного сотрудничества стран Глобального Юга.",俄罗斯同为“全球南方”大家庭的重要成员，今年作为金砖轮值主席国成功举办金砖国家领导人第十六次会晤，为金砖合作机制发展倾注大量心力，与中国和其他金砖伙伴共同推动“大金砖合作”顺利开局，为“全球南方”加强团结合作凝聚了更多共识、信心和力量。中国将继续同俄罗斯在内的其他“全球南方”国家一道，共商合作、共谋发展、共面挑战，共同擘画“全球南方”团结合作的新蓝图。,"Россия является важным членом большой семьи ""Глобального Юга"". В этом году, в качестве председателя БРИКС, она успешно провела шестнадцатую встречу глав государств и правительств стран БРИКС, приложив значительные усилия для развития механизма сотрудничества БРИКС. Вместе с Китаем и другими партнерами по БРИКС Россия способствовала успешному началу ""расширенного сотрудничества БРИКС"", укрепила единство и сотрудничество между странами ""Глобального Юга"", вселив в них больше уверенности и сил. Китай продолжит вместе с Россией и другими странами ""Глобального Юга"" обсуждать вопросы сотрудничества, искать пути развития, преодолевать вызовы и совместно создавать новую карту единого сотрудничества для стран ""Глобального Юга"".","Россия, как важный член семьи «глобального Юга», успешно провела шестнадцатую встречу лидеров стран БРИКС в качестве действующего председателя в этом году, уделив значительное внимание развитию механизма БРИКС, работая с Китаем и другими партнерами по БРИКС, чтобы способствовать плавному началу «большого кирпичного сотрудничества» и построить больший консенсус, доверие и силу для сотрудничества солидарности «глобального Юга». Китай будет продолжать работать с другими странами «глобального Юга», включая Россию, для совместной работы, развития и решения общих проблем, а также для разработки нового плана солидарности «глобального Юга»."
张汉晖大使在《俄罗斯报》发表署名文章《桥梁还是壁垒： 从巴以问题看中美“三观”差异》,Посол Китая в России Чжан Ханьхуэй опубликовал в российской газете «Российская газета» статью «Мосты и барьеры: различия в «трех взглядах» между Китаем и США на примере палестино-израильского конфликта»,"Посол Чжан Ханьхуэй опубликовал в ""Российской газете"" подписанную статью ""Мост или барьер: взгляд на различия в ""трех перспективах"" между Китаем и США с точки зрения палестино-израильского вопроса""","Посол Чжан Ханьхуэй опубликовала статью под названием ""Мост или барьер: Различия в подходах к палестино-израильскому вопросу, отражающие различия в основных принципах между США и Китаем"", опубликованную в газете ""Российская газета"".",Статья Чжан Ханьчуля в российской газете «Мосты или барьеры: американо-американское три отличия от израильско-палестинской проблемы»
2024-11-29 20:00,2024-11-29 20:00,2024-11-29 20:00,"29 ноября 2024 года, 20:00.",2024-1129 часов
11月29日，张汉晖大使在俄政府机关报《俄罗斯报》发表署名文章《桥梁还是壁垒：从巴以问题看中美“三观”差异》，全文如下：,29 ноября Посол Китая в России Чжан Ханьхуэй опубликовал в российской газете «Российская газета» статью «Мосты и барьеры: различия в «трех взглядах» между Китаем и США на примере палестино-израильского конфликта». Полный текст статьи приводится ниже.,"29 ноября посол Чжан Ханьхуэй опубликовал в российском правительственном органе ""Русская газета"" подписанную статью ""Мост или барьер: взгляд на различия в Китае и ""трех перспективах"" США с точки зрения палестино-израильского вопроса"". Полный текст выглядит следующим образом:","29 ноября посол Чжан Ханьхуэй опубликовала статью под названием «Мост или барьер: взгляд на различия в подходах между США и Китаем, рассматривая израильско-палестинский конфликт» в официальном издании правительства Российской Федерации – газете «Российская газета». Полный текст статьи приведен ниже:","29 ноября посол Чжан Ханьцин опубликовал в российском правительственном агентстве газету «Российская газета, мосты или барьеры»: с палестино-израильской точки зрения, разница «три взгляда» выглядит следующим образом:"
巴以冲突爆发一年以来，以色列在加沙地带的军事行动已造成超4.3万巴勒斯坦人死亡、逾10万人受伤，导致该地区前所未有的人道主义危机。得道多助，失道寡助。美国偏袒纵容以色列，导致地区紧张形势升级和人道主义灾难，遭到国际社会质疑。而中国坚定捍卫国际公道正义，积极劝和促谈，推动局势降温，得到国际社会支持。是为和平稳定搭路建桥，还是为一己私利拱火作垒，巴以问题充分体现出中美两国在国际秩序观、安全观、人权观“三观”上的根本差异。,"С момента начала конфликта между Израилем и Палестиной год назад военные действия Израиля в секторе Газа привели к гибели более чем 43 000 палестинцев, свыше 100 000 получили ранения, что вызвало беспрецедентный гуманитарный кризис в регионе. Как говорится, «тот, кто справедлив, пользуется широкой поддержкой, а тот, кто несправедлив, лишает себя ее». США благоволят и потворствуют Израилю, что приводит к эскалации напряженности и гуманитарной катастрофе. Такие действия подвергаются критике со стороны международного сообщества. В то же время Китай твердо отстаивает международную справедливость, активно содействует мирным переговорам и способствует снижению напряженности. Эти усилия получают поддержку от международного сообщества.  Строить мосты для мира и стабильности или создавать барьеры для личной выгоды? Подходы Китая и США к урегулированию палестино-израильского конфликта ярко демонстрируют коренные различия между двумя странами в «трех взглядах» на:. —международный порядок, —безопасность, —права человека.","Спустя год после начала палестино-израильского конфликта в результате военных операций Израиля в секторе Газа более 43 000 палестинцев погибли и более 100 000 получили ранения, что привело к беспрецедентному гуманитарному кризису в регионе. Если вы выберете правильный путь, вы получите большую помощь, но если вы пойдете по неправильному пути, вы получите мало помощи. Фаворитизм и попустительство Соединенных Штатов Израилю привели к эскалации региональной напряженности и гуманитарным катастрофам и были подвергнуты сомнению международным сообществом. Китай, с другой стороны, твердо защищает международную справедливость и справедливость, активно содействует мирным переговорам и содействует деэскалации ситуации, заручаясь поддержкой международного сообщества. Будь то строительство дорог и мостов для мира и стабильности или возведение барьеров ради эгоистических интересов, палестино-израильский вопрос полностью отражает фундаментальные различия между Китаем и Соединенными Штатами в их взглядах на международный порядок, безопасность и права человека.","С момента начала израильско-палестинского конфликта, военные действия Израиля в секторе Газа привели к гибели более 43 тысяч палестинцев и ранениям свыше 100 тысяч человек, что спровоцировало беспрецедентный гуманитарный кризис в регионе. Как гласит пословица, ""поддержка приходит тем, кто на правильном пути, а помощь уходит от тех, кто заблуждается"". Поддержка и терпимость США к Израилю привели к эскалации напряженности в регионе и гуманитарной катастрофе, что вызывает вопросы со стороны международного сообщества. В то же время, Китай твердо отстаивает международную справедливость и правосудие, активно выступает за мирные переговоры и способствует деэскалации ситуации, получая поддержку от мирового сообщества. Вопрос израильско-палестинского конфликта наглядно демонстрирует фундаментальные различия в представлениях Китая и США о международном порядке, безопасности и правах человека.","В течение года после начала израильско-палестинского конфликта израильские военные операции в секторе Газа привели к гибели более 43 000 палестинцев и ранению более 100 000 человек, что привело к беспрецедентному гуманитарному кризису в регионе. У меня много помощи, я сбилась с пути. Предвзятость США в отношении Израиля привела к эскалации региональной напряженности и гуманитарной катастрофе, которая была поставлена под сомнение международным сообществом. Китай, с другой стороны, твердо защищает международное правосудие, активно выступает за мирные переговоры и способствует деэскалации ситуации и пользуется поддержкой международного сообщества. Вопрос о том, строить ли мосты для мира и стабильности или принимать сторону в своих интересах, полностью отражает фундаментальные различия между Китаем и Соединенными Штатами с точки зрения международного порядка, безопасности и прав человека."
一、秩序观,1. Взгляд на международный порядок,一、秩序观,1. Понимание порядка.,I. Порядок
长期以来，美国人为炮制了“基于规则的国际秩序”，实为服务本国利益的国际秩序。二战后，美国为争霸中东大力扶持以色列，漠视巴勒斯坦民族权力，反对巴独立建国。1988年巴宣布建国后，美国至今未予承认，长期纵容以色列非法修建定居点、蚕食巴土地。本轮冲突以来，美国4次无端动用否决权破坏安理会推动加沙停火努力，罔顾《联合国宪章》等公认的国际法，无视巴以冲突导致的骇人听闻的人道主义灾难。这种严重违反国际法的霸权主义行径，必将遭到国际社会共同反对。,"На протяжении длительного времени американцы создавали «основанный на правилах международный порядок», который на самом деле служит интересам их страны. После Второй мировой войны США активно поддерживали Израиль в борьбе за влияние на Ближнем Востоке, игнорируя права палестинского народа и выступая против независимого палестинского государства. С момента объявления о создании Государства Палестины в 1988 году США до сих пор не признали его, долгое время потворствуя незаконному строительству израильских поселений и захвату палестинских земель. С начала текущего конфликта США четыре раза безосновательно использовали право вето, чтобы препятствовать усилиям Совета Безопасности ООН по прекращению огня в Газе, пренебрегая Уставом ООН и общепризнанными нормами международного права, игнорируя ужасающую гуманитарную катастрофу, вызванную конфликтом между Израилем и Палестиной. Эти гегемонистские действия, серьезно нарушающие международное право, несомненно, встретят всеобщее осуждение со стороны международного сообщества.","В течение долгого времени американцы искусственно создавали «международный порядок, основанный на правилах», который на самом деле является международным порядком, который служит их собственным интересам. После Второй мировой войны Соединенные Штаты энергично поддерживали Израиль в его борьбе за гегемонию на Ближнем Востоке, игнорировали национальные права палестинцев и выступали против создания независимого палестинского государства. После того как Палестина провозгласила свое государство в 1988 году, Соединенные Штаты еще не признали ее и долгое время мирились с незаконным строительством Израилем поселений и вторжением на палестинскую землю. Со времени нынешнего раунда конфликтов Соединенные Штаты четыре раза без всякой причины использовали свое право вето, чтобы подорвать усилия Совета Безопасности по содействию прекращению огня в секторе Газа. Он проигнорировал общепризнанные международные законы, такие как Устав Организации Объединенных Наций, и проигнорировал ужасающую гуманитарную катастрофу, вызванную палестино-израильским конфликтом. Это гегемонистское действие, которое серьезно нарушает международное право, встретит совместную оппозицию международного сообщества.","Долгое время Соединенные Штаты продвигали концепцию ""международного порядка, основанного на правилах"", которая фактически является международным порядком, служащим интересам самой страны. После Второй мировой войны США активно поддерживали Израиль в борьбе за господство на Ближнем Востоке, игнорируя права палестинского народа и выступая против создания независимого палестинского государства. После объявления Палестиной о создании собственного государства в 1988 году, США до сих пор не признали его и долгое время закрывали глаза на незаконное строительство израильских поселений и захват палестинских территорий. С начала текущего конфликта Соединенные Штаты четырежды необоснованно использовали право вето, чтобы сорвать усилия Совета Безопасности ООН по достижению прекращения огня в Газе, игнорируя общепризнанные нормы международного права, такие как Устав Организации Объединенных Наций, и пренебрегая ужасающими гуманитарными последствиями израильско-палестинского конфликта. Такие действия, грубо нарушающие международное право и являющиеся проявлением гегемонизма, несомненно, встретят осуждение со стороны международного сообщества.","Долгое время американцы создавали «международный порядок, основанный на правилах», который служит их собственным интересам. После Второй мировой войны Соединенные Штаты решительно поддержали Израиль в его борьбе за Ближний Восток, игнорируя палестинские национальные права и выступая против создания независимого палестинского государства. Соединенные Штаты до сих пор не признали незаконное строительство Израилем поселений и посягательство на палестинские земли с момента его декларации в 1988 году. После нынешнего раунда конфликта Соединенные Штаты использовали свое вето четыре раза без оправдания, чтобы подорвать усилия Совета по содействию прекращению огня в Газе, игнорируя ужасающую гуманитарную катастрофу, вызванную израильско-палестинским конфликтом, вопреки общепризнанному международному праву, такому как Устав Организации Объединенных Наций. Эта гегемонистская практика, которая является серьезным нарушением международного права, несомненно, будет отвергнута международным сообществом."
中国始终认为国际秩序应以国际法为基础，以国际公平正义为准绳。,"Китай всегда полагает, что международный порядок должен основываться на международном праве и следовать принципам международной справедливости и правосудия. Председатель КНР Си Цзиньпин в сентябре 2021 года на 76-ой сессии Генеральной Ассамблеи ООН отметил: «В мире существует только одна система — международная система, ядром которой является ООН; существует только один порядок — международный порядок, основанный на международном праве; существует только один свод правил — основные нормы международных отношений, которые зиждутся на целях и принципах Устава ООН».","Китай всегда считал, что международный порядок должен основываться на международном праве и на международной честности и справедливости.","Китай всегда придерживался мнения, что международный порядок должен основываться на международном праве и принципах справедливости и правосудия.","Китай всегда считал, что международный порядок должен основываться на международном праве и регулироваться международным правосудием."
习近平主席于 2021年 9月在第 76 届联合国大会一般性辩论中指出：“世界只有一个体系，就是以联合国为核心的国际体系。,"Китай формирует свою позицию, опираясь не на близость или дальность в отношениях, симпатии или антипатии, а на суть вопроса и его правоты или неправоты.","Председатель Си Цзиньпин в ходе общих прений на 76-й сессии Генеральной Ассамблеи Организации Объединенных Наций в сентябре 2021 года отметил: «В мире существует только одна система, и это международная система, ядром которой является Организация Объединенных Наций.","Председатель КНР Си Цзиньпин, выступая на общем дебатах 76-й Генеральной Ассамблеи Организации Объединенных Наций в сентябре 2021 года, отметил: ""В мире существует только одна система – международная система, находящаяся в центре которой Организация Объединенных Наций.""","В сентябре 2021 года Председатель Си заявил в общих прениях 76-й сессии Генеральной Ассамблеи Организации Объединенных Наций: «В мире существует только одна система — международная система, в основе которой лежит Организация Объединенных Наций."
只有一个秩序，就是以国际法为基础的国际秩序。,"В вопросе палестино-израильского конфликта Китай последовательно выступает за справедливость, полную реализацию двугосударственного решения конфликта на основе международного права и твердо поддерживает справедливое стремление палестинского народа в восстановлении своих законных прав.","Есть только один порядок — международный порядок, основанный на международном праве.","Существует только один порядок – это международный порядок, основанный на международном праве.","Существует только один порядок: международный порядок, основанный на международном праве."
只有一套规则，就是以《联合国宪章》宗旨和原则为基础的国际关系基本准则。”中国坚持从事情本身是非曲直而不是亲疏好恶出发确定立场，在巴以问题上一贯主持公道，基于国际法提倡全面落实“两国方案”，坚定支持巴人民恢复民族合法权利的正义事业，积极呼吁召开更大规模、更具权威、更有实效的国际和会，持续推动巴以问题早日得到全面、公正、持久解决。,"Китай активно призывает к проведению более масштабных, авторитетных и эффективных международных конференций, чтобы способствовать скорейшему полному, справедливому и устойчивому разрешению палестино-израильского конфликта.","Существует только один свод правил, которые являются основными нормами международных отношений, основанными на целях и принципах Устава Организации Объединенных Наций. «Китай настаивает на определении своей позиции, исходя из существа самого вопроса, а не симпатий и антипатий к близости и отчуждению. Он всегда поддерживал справедливость в палестино-израильском вопросе, выступал за полную реализацию «решения о двух государствах», основанного на международном праве, твердо поддерживал справедливое дело палестинского народа по восстановлению своих законных национальных прав, активно призывал к созыву более крупной, более авторитетной и эффективной международной мирной конференции и продолжал способствовать скорейшему созыву всеобъемлющее, справедливое и прочное решение палестино-израильского вопроса.","Существует только один принцип: основные нормы международных отношений, основанные на целях и принципах Устава Организации Объединенных Наций. Китай последовательно придерживается позиции, определяемой не личными симпатиями или антипатиями, а сущностью самого вопроса, и всегда выступает за справедливость в палестино-израильском конфликте. Основываясь на международном праве, Китай продвигает всестороннюю реализацию ""решения о двух государствах"", твердо поддерживает справедливое дело восстановления законных прав палестинского народа и активно призывает к созыву более масштабных, авторитетных и эффективных международных конференций для достижения всеобъемлющего, справедливого и устойчивого решения палестино-израильской проблемы.","Существует только один свод правил, базовых норм международных отношений, основанных на целях и принципах Устава Организации Объединенных Наций. Китай настаивает на установлении своей позиции по существу, а не по приличию. Он последовательно отстаивает справедливость в отношении палестино-израильского вопроса. Он твердо поддерживает справедливое дело палестинского народа по восстановлению своих законных национальных прав на основе международного права. Он активно призывает к созыву более широкой, более авторитетной и более эффективной международной мирной конференции для содействия всеобъемлющему, справедливому и прочному урегулированию израильско-палестинского вопроса на раннем этапе."
